"APE code","Barcode"," 4L'","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
3200204,,"Cast Acrylic Clear (AN-000) - 2440x1220x40T ","Acrylic",1,1,1017.8,,,,,,32,1017.8,,,"Sheet","Each",,,1840,2440,1220,40,1840,"Sheet","Clear",,,,,,
3200273,,"Cast Acrylic Opal (T-445) - 2440x1220x2T ","Acrylic",1,1,43.5,,,,,,32,43.5,,,"Sheet","Each",,,108,2440,1220,2,,"Sheet","Opal",,,,,,
3200265,,"Cast Acrylic Opal (AN-445) - 2440x1220x3T ","Acrylic",1,1,61,,,,,,32,61,,,"Sheet","Each",,,138,2440,1220,3,,"Sheet","Opal",,,,,,
3200274,,"Cast Acrylic Opal (T-445) - 2440x1220x3T ","Acrylic",1,1,61,,,,,,32,61,,,"Sheet","Each",,,138,2440,1220,3,,"Sheet","Opal",,,,,,
3200278,,"Cast Acrylic Opal (T-445) - 2490x1580x3T ","Acrylic",1,1,80,,,,,,32,80,,,"Sheet","Each",,,193.2,2490,1580,3,,"Sheet","Opal",,,,,,
3200266,,"Cast Acrylic Opal (AN-445) - 2440x1220x4.5T ","Acrylic",1,1,89.6,,,,,,32,89.6,,,"Sheet","Each",,,202.4,2440,1220,4.5,,"Sheet","Opal",,,,,,
3200275,,"Cast Acrylic Opal (T-445) - 2440x1220x4.5T ","Acrylic",1,1,89.6,,,,,,32,89.6,,,"Sheet","Each",,,202.4,2440,1220,4.5,,"Sheet","Opal",,,,,,
3200282,,"Cast Acrylic Opal (T-445) - 2490x1880x3T ","Acrylic",1,1,89.6,,,,,,32,89.6,,,"Sheet","Each",,,216.2,2490,1880,3,,"Sheet","Opal",,,,,,
3200267,,"Cast Acrylic Opal (AN-445) - 2440x1220x6T ","Acrylic",1,1,119.9,,,,,,32,119.9,,,"Sheet","Each",,,270.25,2440,1220,6,,"Sheet","Opal",,,,,,
3200276,,"Cast Acrylic Opal (T-445) - 2440x1220x6T ","Acrylic",1,1,119.9,,,,,,32,119.9,,,"Sheet","Each",,,270.25,2440,1220,6,,"Sheet","Opal",,,,,,
3200286,,"Cast Acrylic Opal (T-445) - 3050x2030x3T ","Acrylic",1,1,125.5,,,,,,32,125.5,,,"Sheet","Each",,,276,3050,2030,3,,"Sheet","Opal",,,,,,
3200279,,"Cast Acrylic Opal (T-445) - 2490x1580x4.5T ","Acrylic",1,1,116.7,,,,,,32,116.7,,,"Sheet","Each",,,295.55,2490,1580,4.5,,"Sheet","Opal",,,,,,
3200283,,"Cast Acrylic Opal (T-445) - 2490x1880x4.5T ","Acrylic",1,1,143.3,,,,,,32,143.3,,,"Sheet","Each",,,340.4,2490,1880,4.5,,"Sheet","Opal",,,,,,
3200280,,"Cast Acrylic Opal (T-445) - 2490x1580x6T ","Acrylic",1,1,165,,,,,,32,165,,,"Sheet","Each",,,350.75,2490,1580,6,,"Sheet","Opal",,,,,,
3200277,,"Cast Acrylic Opal (T-445) - 2440x1220x8T ","Acrylic",1,1,152.35,,,,,,32,152.35,,,"Sheet","Each",,,379.5,2440,1220,8,,"Sheet","Opal",,,,,,
3200284,,"Cast Acrylic Opal (T-445) - 2490x1880x6T ","Acrylic",1,1,179.8,,,,,,32,179.8,,,"Sheet","Each",,,408.25,2490,1880,6,,"Sheet","Opal",,,,,,
3200287,,"Cast Acrylic Opal (T-445) - 3050x2030x4.5T ","Acrylic",1,1,189.6,,,,,,32,189.6,,,"Sheet","Each",,,437,3050,2030,4.5,,"Sheet","Opal",,,,,,
3200260,,"Cast Acrylic Opal (AN-445) - 2440x1220x10T ","Acrylic",1,1,207,,,,,,32,207,,,"Sheet","Each",,,448.5,2440,1220,10,,"Sheet","Opal",,,,,,
3200261,,"Cast Acrylic Opal (AN-445) - 2440x1220x12T ","Acrylic",1,1,248.6,,,,,,32,248.6,,,"Sheet","Each",,,479.55,2440,1220,12,,"Sheet","Opal",,,,,,
3200269,,"Cast Acrylic Opal (T-445) - 2440x1220x12T ","Acrylic",1,1,248.6,,,,,,32,248.6,,,"Sheet","Each",,,479.55,2440,1220,12,,"Sheet","Opal",,,,,,
3200288,,"Cast Acrylic Opal (T-445) - 3050x2030x6T ","Acrylic",1,1,249.25,,,,,,32,249.25,,,"Sheet","Each",,,511.75,3050,2030,6,,"Sheet","Opal",,,,,,
3200262,,"Cast Acrylic Opal (AN-445) - 2440x1220x15T ","Acrylic",1,1,296.7,,,,,,32,296.7,,,"Sheet","Each",,,563.5,2440,1220,15,,"Sheet","Opal",,,,,,
3200270,,"Cast Acrylic Opal (T-445) - 2440x1220x15T ","Acrylic",1,1,296.7,,,,,,32,296.7,,,"Sheet","Each",,,563.5,2440,1220,15,,"Sheet","Opal",,,,,,
3200281,,"Cast Acrylic Opal (T-445) - 2490x1880x10T ","Acrylic",1,1,294,,,,,,32,294,,,"Sheet","Each",,,626.75,2490,1880,10,,"Sheet","Opal",,,,,,
3200263,,"Cast Acrylic Opal (AN-445) - 2440x1220x20T ","Acrylic",1,1,432,,,,,,32,432,,,"Sheet","Each",,,762.45,2440,1220,20,,"Sheet","Opal",,,,,,
