"APE Code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
1200001,"ARI006","Acrylic Rod ","Rod Extruded",1,1,3.6,,,,,,12,3.6,,,"Rod","Each",,,,1830,,,4.8,"Rod","Clear",,,,,,
1200002,"ARI063","Acrylic Rod ","Rod Extruded",1,1,3.73,,,,,,12,3.73,,,"Rod","Each",,,,1830,,,6.4,"Rod","Clear",,,,,,
1200003,"ARI006","Acrylic Rod ","Rod Extruded",1,1,380.46,,,,,,12,380.46,,,"Rod","Each",,,,1830,,,63.5,"Rod","Clear",,,,,,
1200004,"ATI012.6","Acrylic Tube","Tube Extruded",1,1,8.94,,,,,,12,8.94,,,"Tube","Each",,,,1830,12.7,6.4,3.2,"Tube","Clear",,,,,,
1200005,"ATI015.9","Acrylic Tube","Tube Extruded",1,1,10.82,,,,,,12,10.82,,,"Tube","Each",,,,1830,15.9,9.5,3.2,"Tube","Clear",,,,,,
1200006,"ATI015.12","Acrylic Tube","Tube Extruded",1,1,7.2,,,,,,12,7.2,,,"Tube","Each",,,,1830,15.9,12.7,1.6,"Tube","Clear",,,,,,
1200007,"ATI022.19","Acrylic Tube","Tube Extruded",1,1,12.2,,,,,,12,12.2,,,"Tube","Each",,,,1830,22.2,19.1,1.6,"Tube","Clear",,,,,,
1200008,"ATI022.15","Acrylic Tube","Tube Extruded",1,1,16,,,,,,12,16,,,"Tube","Each",,,,1830,22.2,15.9,3.2,"Tube","Clear",,,,,,
1200009,"ATI038.31","Acrylic Tube","Tube Extruded",1,1,28.4,,,,,,12,28.4,,,"Tube","Each",,,,1830,38.1,31.8,3.2,"Tube","Clear",,,,,,
1200010,"ATI050.44","Acrylic Tube","Tube Extruded",1,1,38.5,,,,,,12,38.5,,,"Tube","Each",,,,1830,50.8,44.5,3.2,"Tube","Clear",,,,,,
1200011,"ATI088.82","Acrylic Tube","Tube Extruded",1,1,65,,,,,,12,65,,,"Tube","Each",,,,1830,88.9,82.6,3.2,"Tube","Clear",,,,,,
