APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
1500001,,Standard Polyurethane Rod 90/95 ShA - Red 7mm ,Polyurethane Rod,1,1,23.75,,,,,,15,23.75,,,Rod,Each,,,47.51,1000,,,7mm ,Rod,Red,,,,,,
1500002,,Standard Polyurethane Rod 90/95 ShA - Yellow 7mm ,Polyurethane Rod,1,1,23.75,,,,,,15,23.75,,,Rod,Each,,,47.51,1000,,,7mm ,Rod,Yellow,,,,,,
1500003,,Standard Polyurethane Rod 90/95 ShA - Orange 7mm ,Polyurethane Rod,1,1,26.13,,,,,,15,26.13,,,Rod,Each,,,52.25,1000,,,7mm ,Rod,Orange,,,,,,
1500004,,Standard Polyurethane Rod 90/95 ShA - Green 7mm ,Polyurethane Rod,1,1,26.13,,,,,,15,26.13,,,Rod,Each,,,52.25,1000,,,7mm ,Rod,Green,,,,,,
1500005,,Standard Polyurethane Rod 90/95 ShA - Dark Blue 7mm ,Polyurethane Rod,1,1,26.13,,,,,,15,26.13,,,Rod,Each,,,52.25,1000,,,7mm ,Rod,Dark Blue,,,,,,
1500006,,Standard Polyurethane Rod 90/95 ShA - Sky Blue 7mm ,Polyurethane Rod,1,1,26.13,,,,,,15,26.13,,,Rod,Each,,,52.25,1000,,,7mm ,Rod,Sky Blue,,,,,,
1500007,,Standard Polyurethane Rod 90/95 ShA - Black 7mm ,Polyurethane Rod,1,1,26.13,,,,,,15,26.13,,,Rod,Each,,,52.25,1000,,,7mm ,Rod,Black,,,,,,
1500008,,Standard Polyurethane Rod 90/95 ShA with FRAS - Red 7mm ,Polyurethane Rod,1,1,28.51,,,,,,15,28.51,,,Rod,Each,,,57.02,1000,,,7mm ,Rod,Red,,,,,,
1500009,,Standard Polyurethane Rod 90/95 ShA with FRAS - Yellow 7mm ,Polyurethane Rod,1,1,28.51,,,,,,15,28.51,,,Rod,Each,,,57.02,1000,,,7mm ,Rod,Yellow,,,,,,
1500010,,Standard Polyurethane Rod Other ShA - Red 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Red,,,,,,
1500011,,Standard Polyurethane Rod Other ShA  - Yellow 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Yellow,,,,,,
1500012,,Standard Polyurethane Rod Other ShA - Orange 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Orange,,,,,,
1500013,,Standard Polyurethane Rod  Other ShA - Green 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Green,,,,,,
1500014,,Standard Polyurethane Rod  Other ShA  - Dark Blue 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Dark Blue,,,,,,
1500015,,Standard Polyurethane Rod  Other ShA - Sky Blue 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Sky Blue,,,,,,
1500016,,Standard Polyurethane Rod  Other ShA - Black 7mm ,Polyurethane Rod,1,1,27.32,,,,,,15,27.32,,,Rod,Each,,,54.64,1000,,,7mm ,Rod,Black,,,,,,
1500017,,Standard Polyurethane Rod Other ShA with FRAS - Red 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Red,,,,,,
1500018,,Standard Polyurethane Rod Other ShA with FRAS  - Yellow 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Yellow,,,,,,
1500019,,Standard Polyurethane Rod Other ShA with FRAS - Orange 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Orange,,,,,,
1500020,,Standard Polyurethane Rod  Other ShA with FRAS - Green 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Green,,,,,,
1500021,,Standard Polyurethane Rod  Other ShA with FRAS  - Dark Blue 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Dark Blue,,,,,,
1500022,,Standard Polyurethane Rod  Other ShA with FRAS - Sky Blue 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Sky Blue,,,,,,
1500023,,Standard Polyurethane Rod  Other ShA with FRAS - Black 7mm ,Polyurethane Rod,1,1,29.69,,,,,,15,29.69,,,Rod,Each,,,59.38,1000,,,7mm ,Rod,Black,,,,,,
1500024,,Standard Polyurethane Rod 90/95 ShA - Red 12mm ,Polyurethane Rod,1,1,25.71,,,,,,15,25.71,,,Rod,Each,,,51.42,1000,,,,Rod,Red,,,,,,
1500025,,Standard Polyurethane Rod 90/95 ShA - Yellow 12mm ,Polyurethane Rod,1,1,25.71,,,,,,15,25.71,,,Rod,Each,,,51.42,1000,,,12mm ,Rod,Yellow,,,,,,
1500026,,Standard Polyurethane Rod 90/95 ShA - Orange 12mm ,Polyurethane Rod,1,1,28.28,,,,,,15,28.28,,,Rod,Each,,,56.56,1000,,,12mm ,Rod,Orange,,,,,,
1500027,,Standard Polyurethane Rod 90/95 ShA - Green 12mm ,Polyurethane Rod,1,1,28.28,,,,,,15,28.28,,,Rod,Each,,,56.56,1000,,,12mm ,Rod,Green,,,,,,
1500028,,Standard Polyurethane Rod 90/95 ShA - Dark Blue 12mm ,Polyurethane Rod,1,1,28.28,,,,,,15,28.28,,,Rod,Each,,,56.56,1000,,,12mm ,Rod,Dark Blue,,,,,,
1500029,,Standard Polyurethane Rod 90/95 ShA - Sky Blue 12mm ,Polyurethane Rod,1,1,28.28,,,,,,15,28.28,,,Rod,Each,,,56.56,1000,,,12mm ,Rod,Sky Blue,,,,,,
1500030,,Standard Polyurethane Rod 90/95 ShA - Black 12mm ,Polyurethane Rod,1,1,28.28,,,,,,15,28.28,,,Rod,Each,,,56.56,1000,,,12mm ,Rod,Black,,,,,,
1500031,,Standard Polyurethane Rod 90/95 ShA with FRAS - Red 12mm ,Polyurethane Rod,1,1,30.85,,,,,,15,30.85,,,Rod,Each,,,61.71,1000,,,12mm ,Rod,Red,,,,,,
1500032,,Standard Polyurethane Rod Other ShA - Red 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Red,,,,,,
1500033,,Standard Polyurethane Rod 90/95 ShA with FRAS - Yellow 12mm ,Polyurethane Rod,1,1,30.85,,,,,,15,30.85,,,Rod,Each,,,61.71,1000,,,12mm ,Rod,Yellow,,,,,,
1500034,,Standard Polyurethane Rod Other ShA  - Yellow 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Yellow,,,,,,
1500035,,Standard Polyurethane Rod Other ShA - Orange 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Orange,,,,,,
1500036,,Standard Polyurethane Rod  Other ShA - Green 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Green,,,,,,
1500037,,Standard Polyurethane Rod  Other ShA  - Dark Blue 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Dark Blue,,,,,,
1500038,,Standard Polyurethane Rod  Other ShA - Sky Blue 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Sky Blue,,,,,,
1500039,,Standard Polyurethane Rod  Other ShA - Black 12mm ,Polyurethane Rod,1,1,29.56,,,,,,15,29.56,,,Rod,Each,,,59.13,1000,,,12mm ,Rod,Black,,,,,,
1500040,,Standard Polyurethane Rod Other ShA with FRAS - Red 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Red,,,,,,
1500041,,Standard Polyurethane Rod Other ShA with FRAS  - Yellow 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Yellow,,,,,,
1500042,,Standard Polyurethane Rod Other ShA with FRAS - Orange 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Orange,,,,,,
1500043,,Standard Polyurethane Rod  Other ShA with FRAS - Green 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Green,,,,,,
1500044,,Standard Polyurethane Rod  Other ShA with FRAS  - Dark Blue 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Dark Blue,,,,,,
1500045,,Standard Polyurethane Rod  Other ShA with FRAS - Sky Blue 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Sky Blue,,,,,,
1500046,,Standard Polyurethane Rod  Other ShA with FRAS - Black 12mm ,Polyurethane Rod,1,1,32.14,,,,,,15,32.14,,,Rod,Each,,,64.27,1000,,,12mm ,Rod,Black,,,,,,
1500047,,Standard Polyurethane Rod 90/95 ShA - Red 14mm ,Polyurethane Rod,1,1,26.15,,,,,,15,26.15,,,Rod,Each,,,52.31,1000,,,,Rod,Red,,,,,,
1500048,,Standard Polyurethane Rod 90/95 ShA - Yellow 14mm ,Polyurethane Rod,1,1,26.15,,,,,,15,26.15,,,Rod,Each,,,52.31,1000,,,14mm ,Rod,Yellow,,,,,,
1500049,,Standard Polyurethane Rod 90/95 ShA - Orange 14mm ,Polyurethane Rod,1,1,30.45,,,,,,15,30.45,,,Rod,Each,,,60.91,1000,,,14mm ,Rod,Orange,,,,,,
1500050,,Standard Polyurethane Rod 90/95 ShA - Green 14mm ,Polyurethane Rod,1,1,30.45,,,,,,15,30.45,,,Rod,Each,,,60.91,1000,,,14mm ,Rod,Green,,,,,,
1500051,,Standard Polyurethane Rod 90/95 ShA - Dark Blue 14mm ,Polyurethane Rod,1,1,30.45,,,,,,15,30.45,,,Rod,Each,,,60.91,1000,,,14mm ,Rod,Dark Blue,,,,,,
1500052,,Standard Polyurethane Rod 90/95 ShA - Sky Blue 14mm ,Polyurethane Rod,1,1,30.45,,,,,,15,30.45,,,Rod,Each,,,60.91,1000,,,14mm ,Rod,Sky Blue,,,,,,
1500053,,Standard Polyurethane Rod 90/95 ShA - Black 14mm ,Polyurethane Rod,1,1,30.45,,,,,,15,30.45,,,Rod,Each,,,60.91,1000,,,14mm ,Rod,Black,,,,,,
