"APE code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP Discount %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price x 1 CTN","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account","Vendors/Price 1 - 4 CTN","Vendors/Price 5+ CTN"
1800001,"0491/4","Signholder With Base Adh Tape 1220Mm CTN Qty 25","Tape",1,1,8.45,,,,,,18,8.45,,,"Tape","Carton",,,15.21,,,,,,,,,,,,,6.5,5.65
1800002,"0491/4","Signholder With Base Adh Tape 1220Mm CTN Qty 25","Tape",1,1,8.45,,,,,,18,8.45,,,"Tape","Carton",,,15.21,,,,,,,,,,,,,6.5,5.65
1800003,"0507/8","Ticket Channel 2440l CTN Qty 25","Holder",1,1,12.7,,,,,,18,12.7,,,"Holder","Carton",,,22.86,,,,,,,,,,,,,9.8,8.5
1800004,"0507/8","Ticket Channel 2440l CTN Qty 25","Holder",1,1,12.7,,,,,,18,12.7,,,"Holder","Carton",,,22.86,,,,,,,,,,,,,9.8,8.5
1800005,"0846/2","Round Chrome 25  Tube 700 CTN Qty 10","Tube",1,1,6.2,,,,,,18,6.2,,,"Tube","Carton",,,11.16,,,,,,,,,,,,,5.3,4.6
1800006,"0846/5","Round Chrome 25  Tube 1525 CTN Qty 10","Tube",1,1,12.8,,,,,,18,12.8,,,"Tube","Carton",,,23.04,,,,,,,,,,,,,10.9,9.5
1800007,"0846/6","Round Chrome 25  Tube 1830 CTN Qty 10","Tube",1,1,15.4,,,,,,18,15.4,,,"Tube","Carton",,,27.72,,,,,,,,,,,,,13.2,11.4
1800008,"0846/8","Round Chrome 25  Tube 2440 CTN Qty 10","Tube",1,1,20.5,,,,,,18,20.5,,,"Tube","Carton",,,36.9,,,,,,,,,,,,,17.5,15.2
1800009,"1770/4","Reg Hook 100 CTN Qty 250","Hook",1,1,0.28,,,,,,18,0.28,,,"Hook","Carton",,,0.5,,,,,,,,,,,,,0.16,0.14
1800010,"1770/6","Reg Hook 150 CTN Qty 250","Hook",1,1,0.34,,,,,,18,0.34,,,"Hook","Carton",,,0.61,,,,,,,,,,,,,0.2,0.17
1800011,"1770/12","Reg Hook 300 CTN Qty 250","Hook",1,1,0.56,,,,,,18,0.56,,,"Hook","Carton",,,1.01,,,,,,,,,,,,,0.32,0.28
1800012,231,"Watch Display - Glue To 12.7Mm Rod CTN Qty 100","Rod",1,1,2.3,,,,,,18,2.3,,,"Rod","Carton",,,4.14,,,,,,,,,,,,,1.8,1.6
1800013,243,"Grooved Wall Mount Spectacle 80Mm CTN Qty 100","Wall Mount",1,1,3.2,,,,,,18,3.2,,,"Wall Mount","Carton",,,5.76,,,,,,,,,,,,,2.55,2.25
1800014,246,"Grooved Wall Spec Clip CTN Qty 100","Clip",1,1,4,,,,,,18,4,,,"Clip","Carton",,,7.2,,,,,,,,,,,,,3.3,2.9
1800015,247,"Grooved Wall Mount Spectacle 50Mm CTN Qty 100","Wall Mount",1,1,2.6,,,,,,18,2.6,,,"Wall Mount","Carton",,,4.68,,,,,,,,,,,,,2.15,1.9
1800016,370,"Glass Dome 115 d X 200 High CTN Qty 5","Dome",1,1,30.4,,,,,,18,30.4,,,"Dome","Carton",,,54.72,,,,,,,,,,,,,25.3,22.5
1800017,371,"Glass Dome 200 d X 300 High CTN Qty 5","Dome",1,1,72.5,,,,,,18,72.5,,,"Dome","Carton",,,130.5,,,,,,,,,,,,,63.45,56.4
1800018,400,"Angle Info Holder Bus Card CTN Qty 100","Holder",1,1,2.5,,,,,,18,2.5,,,"Holder","Carton",,,4.5,,,,,,,,,,,,,1.98,1.75
1800019,401,"Angle Info Holder  a6 CTN Qty 100","Holder",1,1,4.3,,,,,,18,4.3,,,"Holder","Carton",,,7.74,,,,,,,,,,,,,3.5,3.1
1800020,402,"Angle Info Holder Dl CTN Qty 100","Holder",1,1,5.4,,,,,,18,5.4,,,"Holder","Carton",,,9.72,,,,,,,,,,,,,4.35,3.85
1800021,403,"Angle Info Holder a5 CTN Qty 50","Holder",1,1,5.9,,,,,,18,5.9,,,"Holder","Carton",,,10.62,,,,,,,,,,,,,4.8,4.25
1800022,404,"Angle Info Holder a4 CTN Qty 50","Holder",1,1,7.9,,,,,,18,7.9,,,"Holder","Carton",,,14.22,,,,,,,,,,,,,6.7,5.95
1800023,405,"Angle Info Holder a3 CTN Qty 25","Holder",1,1,16.2,,,,,,18,16.2,,,"Holder","Carton",,,29.16,,,,,,,,,,,,,13.7,12.2
1800024,411,"Vertical Info Holder a6 CTN Qty 100","Holder",1,1,4.6,,,,,,18,4.6,,,"Holder","Carton",,,8.28,,,,,,,,,,,,,3.7,3.3
1800025,412,"Vertical Info Holder Dl CTN Qty 100","Holder",1,1,5.5,,,,,,18,5.5,,,"Holder","Carton",,,9.9,,,,,,,,,,,,,4.45,3.95
1800026,413,"Vertical Info Holder a5 CTN Qty 50","Holder",1,1,6.1,,,,,,18,6.1,,,"Holder","Carton",,,10.98,,,,,,,,,,,,,4.95,4.4
1800027,414,"Vertical Info Holder a4 CTN Qty 50","Holder",1,1,8.5,,,,,,18,8.5,,,"Holder","Carton",,,15.3,,,,,,,,,,,,,6.95,6.2
1800028,415,"Vertical Info Holder a3 CTN Qty 25","Holder",1,1,18.4,,,,,,18,18.4,,,"Holder","Carton",,,33.12,,,,,,,,,,,,,15.6,13.9
1800029,479,"Hinged Signholder CTN Qty 100","Signholder",1,1,2.55,,,,,,18,2.55,,,"Signholder","Carton",,,4.59,,,,,,,,,,,,,1.96,1.7
1800030,485,"Chrome Base CTN Qty 10","Base",1,1,9.6,,,,,,18,9.6,,,"Base","Carton",,,17.28,,,,,,,,,,,,,8.4,6.8
1800031,486,"Threaded Stem Adjustable CTN Qty 50","Stem",1,1,6.4,,,,,,18,6.4,,,"Stem","Carton",,,11.52,,,,,,,,,,,,,5.2,4.3
1800032,487,"Signholder With Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.45,,,,,,18,0.45,,,"Tape","Carton",,,0.81,,,,,,,,,,,,,0.35,0.3
1800033,489,"Signholder With Adh Tape 75Mm CTN Qty 100","Tape",1,1,1.2,,,,,,18,1.2,,,"Tape","Carton",,,2.16,,,,,,,,,,,,,0.92,0.8
1800034,490,"Signholder With Base Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.38,,,,,,18,0.38,,,"Tape","Carton",,,0.68,,,,,,,,,,,,,0.29,0.25
1800035,490,"Signholder With Base Adh Tape 25Mm CTN Qty 200","Tape",1,1,0.38,,,,,,18,0.38,,,"Tape","Carton",,,0.68,,,,,,,,,,,,,0.29,0.25
1800036,491,"Signholder With Base Adh Tape 75Mm CTN Qty 100","Tape",1,1,0.82,,,,,,18,0.82,,,"Tape","Carton",,,1.48,,,,,,,,,,,,,0.63,0.55
1800037,491,"Signholder With Base Adh Tape 75Mm CTN Qty 100","Tape",1,1,0.82,,,,,,18,0.82,,,"Tape","Carton",,,1.48,,,,,,,,,,,,,0.63,0.55
1800038,492,"Signholder With Base Adh Tape 150Mm CTN Qty 100","Tape",1,1,2.25,,,,,,18,2.25,,,"Tape","Carton",,,4.05,,,,,,,,,,,,,1.75,1.5
1800039,492,"Signholder With Base Adh Tape 150Mm CTN Qty 100","Tape",1,1,2.25,,,,,,18,2.25,,,"Tape","Carton",,,4.05,,,,,,,,,,,,,1.75,1.5
