"APE code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Values","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
2100128,"PEEKR-10-NAT","PEEK Natural Rod 10 dia x 1000  L","PEEK",1,1,30.5,,,,,,21,30.5,,,"Rod","Each","dia","10 mm",57.95,1000,,,10,"Rod","Beige",,,,,,
2100129,"PEEKR-100-NAT","PEEK Natural Rod 100 dia x 500 L","PEEK",1,1,1325.65,,,,,,21,1325.65,,,"Rod","Each","dia","100 mm",2121.04,500,,,100,"Rod","Beige",,,,,,
2100130,"PEEKR-130-NAT","PEEK Natural Rod 130 dia x 500 L","PEEK",1,1,2240.2,,,,,,21,2240.2,,,"Rod","Each","dia","130 mm",3136.28,500,,,130,"Rod","Beige",,,"Pre-order",,,
2100131,"PEEKR-150-NAT","PEEK Natural Rod 150 dia x 500 L","PEEK",1,1,2982.55,,,,,,21,2982.55,,,"Rod","Each","dia","150 mm",4175.57,500,,,150,"Rod","Beige",,,"Pre-order",,,
2100132,"PEEKR-16-NAT","PEEK Natural Rod 16 dia x 1000  L","PEEK",1,1,68.3,,,,,,21,68.3,,,"Rod","Each","dia","16 mm",129.77,1000,,,16,"Rod","Beige",,,,,,
2100133,"PEEKR-180-NAT","PEEK Natural Rod 180 dia x 500 L","PEEK",1,1,4295.05,,,,,,21,4295.05,,,"Rod","Each","dia","180 mm",6013.07,500,,,180,"Rod","Beige",,,"Pre-order",,,
2100134,"PEEKR-20-NAT","PEEK Natural Rod 20 dia x 1000  L","PEEK",1,1,106.1,,,,,,21,106.1,,,"Rod","Each","dia","20 mm",190.98,1000,,,20,"Rod","Beige",,,,,,
2100135,"PEEKR-200-NAT","PEEK Natural Rod 200 dia x 500 L","PEEK",1,1,5302.5,,,,,,21,5302.5,,,"Rod","Each","dia","200 mm",7423.5,500,,,200,"Rod","Beige",,,"Pre-order",,,
2100136,"PEEKR-25-NAT","PEEK Natural Rod 25 dia x 1000  L","PEEK",1,1,165.9,,,,,,21,165.9,,,"Rod","Each","dia","25 mm",298.62,1000,,,25,"Rod","Beige",,,"Pre-order",,,
2100137,"PEEKR-30-NAT","PEEK Natural Rod 30 dia x 1000  L","PEEK",1,1,238.4,,,,,,21,238.4,,,"Rod","Each","dia","30 mm",429.12,1000,,,30,"Rod","Beige",,,"Pre-order",,,
2100138,"PEEKR-40-NAT","PEEK Natural Rod 40 dia x 1000  L","PEEK",1,1,424.2,,,,,,21,424.2,,,"Rod","Each","dia","40 mm",678.72,1000,,,40,"Rod","Beige",,,,,,
2100139,"PEEKR-50-NAT","PEEK Natural Rod 50 dia x 1000  L","PEEK",1,1,662.6,,,,,,21,662.6,,,"Rod","Each","dia","50 mm",1060.16,1000,,,50,"Rod","Beige",,,,,,
2100140,"PEEKR-60-NAT","PEEK Natural Rod 60 dia x 500 L","PEEK",1,1,477.25,,,,,,21,477.25,,,"Rod","Each","dia","60 mm",763.6,500,,,60,"Rod","Beige",,,"Pre-order",,,
2100141,"PEEKR-70-NAT","PEEK Natural Rod 70 dia x 500 L","PEEK",1,1,649.45,,,,,,21,649.45,,,"Rod","Each","dia","70 mm",1039.12,500,,,70,"Rod","Beige",,,,,,
2100142,"PEEKR-80-NAT","PEEK Natural Rod 80 dia x 500 L","PEEK",1,1,848.4,,,,,,21,848.4,,,"Rod","Each","dia","80 mm",1357.44,500,,,80,"Rod","Beige",,,,,,
2100143,"PEEKR-90-NAT","PEEK Natural Rod 90 dia x 500 L","PEEK",1,1,1073.65,,,,,,21,1073.65,,,"Rod","Each","dia","90 mm",1717.84,500,,,90,"Rod","Beige",,,"Pre-order",,,
2100144,"PEEKS-06-NAT","PEEK Natural Sheet 1000 x 600  x 6 T","PEEK",1,1,1412.7,,,,,,21,1412.7,,,"Sheet","Each","Thickness","6 mm",2260.32,1000,600,6,,"Sheet","Beige",,,"Pre-order",,,
2100145,"PEEKS-08-NAT","PEEK Natural Sheet 1000 x 600  x 8 T","PEEK",1,1,1805.15,,,,,,21,1805.15,,,"Sheet","Each","Thickness","8 mm",2527.21,1000,600,8,,"Sheet","Beige",,,"Pre-order",,,
2100146,"PEEKS-10-NAT","PEEK Natural Sheet 1000 x 600  x 10 T","PEEK",1,1,2060.25,,,,,,21,2060.25,,,"Sheet","Each","Thickness","10 mm",2884.35,1000,600,10,,"Sheet","Beige",,,,,,
2100147,"PEEKS-12-NAT","PEEK Natural Sheet 1000 x 600  x 12 T","PEEK",1,1,2472.35,,,,,,21,2472.35,,,"Sheet","Each","Thickness","12 mm",3461.29,1000,600,12,,"Sheet","Beige",,,,,,
2100148,"PEEKS-16-NAT","PEEK Natural Sheet 1000 x 600  x 16 T","PEEK",1,1,3296.4,,,,,,21,3296.4,,,"Sheet","Each","Thickness","16 mm",4614.96,1000,600,16,,"Sheet","Beige",,,"Pre-order",,,
2100149,"PEEKS-20-NAT","PEEK Natural Sheet 1000 x 600  x 20 T","PEEK",1,1,4120.5,,,,,,21,4120.5,,,"Sheet","Each","Thickness","20 mm",5768.7,1000,600,20,,"Sheet","Beige",,,"Pre-order",,,
2100150,"PEEKS-25-NAT","PEEK Natural Sheet 1000 x 600  x 25 T","PEEK",1,1,5150.65,,,,,,21,5150.65,,,"Sheet","Each","Thickness","25 mm",7210.91,1000,600,25,,"Sheet","Beige",,,"Pre-order",,,
