APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
2300001,ZENARC24404,Zenolite Arctic - 2440x1220x4T ,Zenolite,1,1,271.68,,,,,,23,271.68,,,Sheet,Each,,,443.00,2440,1220,4,,Sheet,Arctic,,,,,,
2300002,ZENARC24406,Zenolite Arctic - 2440x1220x6T ,Zenolite,1,1,355.30,,,,,,23,355.30,,,Sheet,Each,,,525.00,2440,1220,6,,Sheet,Arctic,,,,,,
2300003,ZENARC26004,Zenolite Arctic - 2600x760x4T ,Zenolite,1,1,197.14,,,,,,23,197.14,,,Sheet,Each,,,322.00,2600,760,4,,Sheet,Arctic,,,,,,
2300004,ZENARC36204,Zenolite Arctic - 3620x1220x6T ,Zenolite,1,1,502.94,,,,,,23,502.94,,,Sheet,Each,,,783.00,3620,1220,6,,Sheet,Arctic,,,,,,
2300005,ZENBATOL26004,Zenolite Blue Atoll - 3690x1240x6T ,Zenolite,1,1,518.58,,,,,,23,518.58,,,Sheet,Each,,,783.00,3620,1240,6,,Sheet,Blue Atoll,,,,,,
2300006,ZENCAR24404,Zenolite Carbon - 2440x1220x4T ,Zenolite,1,1,271.68,,,,,,23,271.68,,,Sheet,Each,,,443.00,2440,1220,4,,Sheet,Carbon,,,,,,
2300007,ZENCAR24406,Zenolite Carbon - 2440x1220x6T ,Zenolite,1,1,355.30,,,,,,23,355.30,,,Sheet,Each,,,525.00,2440,1220,6,,Sheet,Carbon,,,,,,
2300008,ZENCAR36206,Zenolite Carbon - 3620x1220x6T ,Zenolite,1,1,502.94,,,,,,23,502.94,,,Sheet,Each,,,525.00,3620,1220,6,,Sheet,Carbon,,,,,,
2300009,ZENGLA24404,Zenolite Glacier - 2440x1220x4T ,Zenolite,1,1,271.68,,,,,,23,271.68,,,Sheet,Each,,,443.00,2440,1220,4,,Sheet,Glacier,,,,,,
2300010,ZENGLA24406,Zenolite Glacier - 2440x1220x6T ,Zenolite,1,1,355.30,,,,,,23,355.30,,,Sheet,Each,,,525.00,2440,1220,6,,Sheet,Glacier,,,,,,
