"APE Code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
2300001,"LAM0854-18001500","Metaline Argente Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Argente Perle","7 Years",,,,,
2300002,"LAM0854-1800800","Metaline Argente Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Argente Perle","7 Years",,,,,
2300003,"LAM0854-36001500","Metaline Argente Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Argente Perle","7 Years",,,,,
2300004,"LAM0854-3600800","Metaline Argente Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Argente Perle","7 Years",,,,,
2300005,"LAM0855-18001500","Metaline Autumn Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Autumn Perle","7 Years",,,,,
2300006,"LAM0855-1800800","Metaline Autumn Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Autumn Perle","7 Years",,,,,
2300007,"LAM0855-36001500","Metaline Autumn Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Autumn Perle","7 Years",,,,,
2300008,"LAM0855-3600800","Metaline Autumn Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Autumn Perle","7 Years",,,,,
2300009,"LAM0866-18001500","Metaline Black Ice - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Black Ice","7 Years",,,,,
2300010,"LAM0866-1800800","Metaline Black Ice - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Black Ice","7 Years",,,,,
2300011,"LAM0866-36001500","Metaline Black Ice - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Black Ice","7 Years",,,,,
2300012,"LAM0866-3600800","Metaline Black Ice - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Black Ice","7 Years",,,,,
2300013,"LAM0874-18001500","Metaline Brushed Aluminium - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Brushed Aluminium","7 Years",,,,,
2300014,"LAM0874-1800800","Metaline Brushed Aluminium - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Brushed Aluminium","7 Years",,,,,
2300015,"LAM0874-36001500","Metaline Brushed Aluminium - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Brushed Aluminium","7 Years",,,,,
2300016,"LAM0874-3600800","Metaline Brushed Aluminium - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Brushed Aluminium","7 Years",,,,,
2300017,"LAM0856-18001500","Metaline Champagne Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Champagne Perle","7 Years",,,,,
2300018,"LAM0856-1800800","Metaline Champagne Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Champagne Perle","7 Years",,,,,
2300019,"LAM0856-36001500","Metaline Champagne Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Champagne Perle","7 Years",,,,,
2300020,"LAM0856-3600800","Metaline Champagne Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Champagne Perle","7 Years",,,,,
2300021,"LAM0857-18001500","Metaline diamond Ice - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","diamond Ice","7 Years",,,,,
2300022,"LAM0857-1800800","Metaline diamond Ice - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","diamond Ice","7 Years",,,,,
2300023,"LAM0857-36001500","Metaline diamond Ice - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","diamond Ice","7 Years",,,,,
2300024,"LAM0857-3600800","Metaline diamond Ice - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","diamond Ice","7 Years",,,,,
2300025,"LAM0870-18001500","Metaline Icicle Metallic - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Icicle Metallic","7 Years",,,,,
2300026,"LAM0870-1800800","Metaline Icicle Metallic - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Icicle Metallic","7 Years",,,,,
2300027,"LAM0870-36001500","Metaline Icicle Metallic - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Icicle Metallic","7 Years",,,,,
2300028,"LAM0870-3600800","Metaline Icicle Metallic - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Icicle Metallic","7 Years",,,,,
2300029,"LAM0858-18001500","Metaline Iridium Metallic - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Iridium Metallic","7 Years",,,,,
2300030,"LAM0858-1800800","Metaline Iridium Metallic - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Iridium Metallic","7 Years",,,,,
2300031,"LAM0858-36001500","Metaline Iridium Metallic - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Iridium Metallic","7 Years",,,,,
2300032,"LAM0858-3600800","Metaline Iridium Metallic - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Iridium Metallic","7 Years",,,,,
2300033,"LAM0871-18001500","Metaline Lagoon Metallic - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Lagoon Metallic","7 Years",,,,,
2300034,"LAM0871-1800800","Metaline Lagoon Metallic - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Lagoon Metallic","7 Years",,,,,
2300035,"LAM0871-36001500","Metaline Lagoon Metallic - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Lagoon Metallic","7 Years",,,,,
2300036,"LAM0871-3600800","Metaline Lagoon Metallic - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Lagoon Metallic","7 Years",,,,,
2300037,"LAM0859-18001500","Metaline Lipstick Red - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Lipstick Red","7 Years",,,,,
2300038,"LAM0859-1800800","Metaline Lipstick Red - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Lipstick Red","7 Years",,,,,
2300039,"LAM0859-36001500","Metaline Lipstick Red - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Lipstick Red","7 Years",,,,,
2300040,"LAM0859-3600800","Metaline Lipstick Red - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Lipstick Red","7 Years",,,,,
2300041,"LAM0860-18001500","Metaline Nimbus Metallic - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Nimbus Metallic","7 Years",,,,,
2300042,"LAM0860-1800800","Metaline Nimbus Metallic - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Nimbus Metallic","7 Years",,,,,
2300043,"LAM0860-36001500","Metaline Nimbus Metallic - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Nimbus Metallic","7 Years",,,,,
2300044,"LAM0860-3600800","Metaline Nimbus Metallic - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Nimbus Metallic","7 Years",,,,,
2300045,"LAM0861-18001500","Metaline Palladium Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Palladium Perle","7 Years",,,,,
2300046,"LAM0861-1800800","Metaline Palladium Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Palladium Perle","7 Years",,,,,
2300047,"LAM0861-36001500","Metaline Palladium Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Palladium Perle","7 Years",,,,,
2300048,"LAM0861-3600800","Metaline Palladium Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Palladium Perle","7 Years",,,,,
2300049,"LAM0867-18001500","Metaline Regal Creme - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Regal Creme","7 Years",,,,,
2300050,"LAM0867-1800800","Metaline Regal Creme - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Regal Creme","7 Years",,,,,
2300051,"LAM0867-36001500","Metaline Regal Creme - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Regal Creme","7 Years",,,,,
2300052,"LAM0867-3600800","Metaline Regal Creme - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Regal Creme","7 Years",,,,,
2300053,"LAM0862-18001500","Metaline Rubicon Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Rubicon Perle","7 Years",,,,,
2300054,"LAM0862-1800800","Metaline Rubicon Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Rubicon Perle","7 Years",,,,,
2300055,"LAM0862-36001500","Metaline Rubicon Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Rubicon Perle","7 Years",,,,,
2300056,"LAM0862-3600800","Metaline Rubicon Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Rubicon Perle","7 Years",,,,,
2300057,"LAM0863-18001500","Metaline Silver Stream Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Silver Stream Perle","7 Years",,,,,
2300058,"LAM0863-1800800","Metaline Silver Stream Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Silver Stream Perle","7 Years",,,,,
2300059,"LAM0863-36001500","Metaline Silver Stream Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Silver Stream Perle","7 Years",,,,,
2300060,"LAM0863-3600800","Metaline Silver Stream Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Silver Stream Perle","7 Years",,,,,
2300061,"LAM0868-18001500","Metaline Smoked Silver Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Smoked Silver Perle","7 Years",,,,,
2300062,"LAM0868-1800800","Metaline Smoked Silver Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Smoked Silver Perle","7 Years",,,,,
2300063,"LAM0868-36001500","Metaline Smoked Silver Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Smoked Silver Perle","7 Years",,,,,
2300064,"LAM0868-3600800","Metaline Smoked Silver Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Smoked Silver Perle","7 Years",,,,,
2300065,"LAM0864-18001500","Metaline Sophisticat - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Sophisticat","7 Years",,,,,
2300066,"LAM0864-1800800","Metaline Sophisticat - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Sophisticat","7 Years",,,,,
2300067,"LAM0864-36001500","Metaline Sophisticat - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Sophisticat","7 Years",,,,,
2300068,"LAM0864-3600800","Metaline Sophisticat - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Sophisticat","7 Years",,,,,
2300069,"LAM0865-18001500","Metaline Style Queen - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Style Queen","7 Years",,,,,
2300070,"LAM0865-1800800","Metaline Style Queen - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Style Queen","7 Years",,,,,
2300071,"LAM0865-36001500","Metaline Style Queen - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Style Queen","7 Years",,,,,
2300072,"LAM0865-3600800","Metaline Style Queen - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Style Queen","7 Years",,,,,
2300073,"LAM0872-18001500","Metaline Tangelo Metallic - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Tangelo Metallic","7 Years",,,,,
2300074,"LAM0872-1800800","Metaline Tangelo Metallic - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Tangelo Metallic","7 Years",,,,,
2300075,"LAM0872-36001500","Metaline Tangelo Metallic - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Tangelo Metallic","7 Years",,,,,
2300076,"LAM0872-3600800","Metaline Tangelo Metallic - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Tangelo Metallic","7 Years",,,,,
2300077,"LAM0873-18001500","Metaline Velocity Perle - 1800x1500x4T ","Metaline",1,1,270.5,,,,,,23,270.5,,,"Sheet","Each",,,419,1800,1500,4,,"Sheet","Velocity Perle","7 Years",,,,,
2300078,"LAM0873-1800800","Metaline Velocity Perle - 1800x800x4T ","Metaline",1,1,157.1,,,,,,23,157.1,,,"Sheet","Each",,,252,1800,800,4,,"Sheet","Velocity Perle","7 Years",,,,,
2300079,"LAM0873-36001500","Metaline Velocity Perle - 3600x1500x4T ","Metaline",1,1,513.5,,,,,,23,513.5,,,"Sheet","Each",,,810,3600,1500,4,,"Sheet","Velocity Perle","7 Years",,,,,
2300080,"LAM0873-3600800","Metaline Velocity Perle - 3600x800x4T ","Metaline",1,1,286.7,,,,,,23,286.7,,,"Sheet","Each",,,446,3600,800,4,,"Sheet","Velocity Perle","7 Years",,,,,
