APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
1500077,ACP000183012206,Cast Acrylic Clear (ACP-000) - 2490x1880x6T,Acrylic,1,1,208.64,,,,,,15,208.64,,,Sheet,Each,,,355.00,2490,1880,6,,Sheet,Clear,,,,,,
1500061,AN202-AMB,Cast Acrylic Amber (AN-202) - 2440x1220x3T,Acrylic,1,1,71.74,,,,,,15,71.74,,,Sheet,Each,,,144.00,2440,1220,3,,Sheet,Amber,,,,,,
1500062,AN202-AMBT,Cast Acrylic Amber Tint (AN-202) - 2440x1220x3T,Acrylic,1,1,71.74,,,,,,15,71.74,,,Sheet,Each,,,150.00,2440,1220,3,,Sheet,Amber,,,,,,
1500014,AN0002440122012,Cast Acrylic Clear (AN-000) - 2440x1220x12T,Acrylic,1,1,306.93,,,,,,15,306.93,,,Sheet,Each,,,417.00,2440,1220,12,,Sheet,Clear,,,,,,
1500015,AN0002440122015,Cast Acrylic Clear (AN-000) - 2440x1220x15T,Acrylic,1,1,383.66,,,,,,15,383.66,,,Sheet,Each,,,490.00,2440,1220,15,,Sheet,Clear,,,,,,
1500016,AN0002440122020,Cast Acrylic Clear (AN-000) - 2440x1220x20T,Acrylic,1,1,530.27,,,,,,15,530.27,,,Sheet,Each,,,663.00,2440,1220,20,,Sheet,Clear,,,,,,
1500017,AN0002440122025,Cast Acrylic Clear (AN-000) - 2440x1220x25T,Acrylic,1,1,692.47,,,,,,15,692.47,,,Sheet,Each,,,850.00,2440,1220,25,,Sheet,Clear,,,,,,
1500018,AN0002440122030,Cast Acrylic Clear (AN-000) - 2440x1220x30T,Acrylic,1,1,795.40,,,,,,15,795.40,,,Sheet,Each,,,1190.00,2440,1220,30,,Sheet,Clear,,,,,,
1500019,AN0002440122040,Cast Acrylic Clear (AN-000) - 2440x1220x40T,Acrylic,1,1,1403.64,,,,,,15,1403.64,,,Sheet,Each,,,1840.00,2440,1220,40,,Sheet,Clear,,,,,,
1500020,AN0002440122050,Cast Acrylic Clear (AN-000) - 2440x1220x50T,Acrylic,1,1,1809.12,,,,,,15,1809.12,,,Sheet,Each,,,2365.00,2440,1220,50,,Sheet,Clear,,,,,,
