APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
1100008,EMIR244122033ORA,Euromir Acrylic Mirror 3mm Orange (219) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Orange,,,,,,
1100001,EMIR24412203AMB,Euromir Acrylic Mirror 3mm Amber (622) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Amber,,,,,,
1100002,EMIR24412203BLU,Euromir Acrylic Mirror 3mm Blue (269) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Blue,,,,,,
1100003,EMIR24412203BRO,Euromir Acrylic Mirror 3mm Bronze (604) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Bronze,,,,,,
1100004,EMIR24412203GOL,Euromir Acrylic Mirror 3mm Gold (400) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Gold,,,,,,
1100005,EMIR24412203GRE,Euromir Acrylic Mirror 3mm Green (614) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Green,,,,,,
1100006,EMIR24412203GRY,Euromir Acrylic Mirror 3mm Grey (150) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Grey,,,,,,
1100007,EMIR24412203NBL,Euromir Acrylic Mirror 3mm Night Blue (624) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Night Blue,,,,,,
1100009,EMIR24412203PUR,Euromir Acrylic Mirror 3mm Purple (120) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Purple,,,,,,
1100010,EMIR24412203RED,Euromir Acrylic Mirror 3mm Red (500) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Red,,,,,,
1100011,EMIR24412203ROS,Euromir Acrylic Mirror 3mm Rose Pink (550) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Rose Pink,,,,,,
1100013,EMIR24412203SEET,Euromir Acrylic Mirror 3mm See Thru (11ST) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,487.55,,,,,,11,487.55,,,Sheet,Each,Thickness,3 mm,830.00,2440.00,1220.00,3.00,,Sheet,See Thru,,,,,,
1100014,EMIR24412203SIL,Euromir Acrylic Mirror 3mm Silver (11) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,206.43,,,,,,11,206.43,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Silver,,,,,,
1100012,EMIR24412203SSIL,Euromir Acrylic Mirror 3mm Satin Silver (11SS) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,379.11,,,,,,11,379.11,,,Sheet,Each,Thickness,3 mm,660.00,2440.00,1220.00,3.00,,Sheet,Satin Silver,,,,,,
1100017,EMIR24412203YEL,Euromir Acrylic Mirror 3mm Yellow (408) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Yellow,,,,,,
1100015,EMIR2441220SKY,Euromir Acrylic Mirror 3mm Sky Blue (100) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Sky Blue,,,,,,
1100016,EMIR2441220TEA,Euromir Acrylic Mirror 3mm Teal (320) 2440x1220x3 mm,Acrylic Mirror,1.00,1.00,286.35,,,,,,11,286.35,,,Sheet,Each,Thickness,3 mm,520.00,2440.00,1220.00,3.00,,Sheet,Teal,,,,,,
1100040,PX305203010FCGGR,Perspex Frost 10mm Glacier Green (S2 6T21) 3050x2030x10,Perspex,1.00,1.00,1198.95,,,,,,11,1198.95,,,Sheet,Each,Thickness,10 mm,1850.00,3050.00,2030.00,10.00,,Sheet,Glacier Green,,,,,,
1100041,,Perspex Frost 10mm Glacier Green (S2 6T21) 2030x1525x10,Perspex,1.00,1.00,629.44,,,,,,11,629.44,,,Sheet,Each,Thickness,10 mm,965.00,2030.00,1525.00,10.00,,Sheet,Glacier Green,,,,,,
1100044,PX305203010FCPWH,Perspex Frost 10mm Polar White (S2 030) 3050x2030x10,Perspex,1.00,1.00,1144.46,,,,,,11,1144.46,,,Sheet,Each,Thickness,10 mm,1750.00,3050.00,2030.00,10.00,,Sheet,Polar White,,,,,,
