"APE Code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
2700001,,"Plexiglas Satin Ice DC Crystal 0F00 DC - 3050x2030x3T ","Plexiglas",1,1,285.12,,,,,,27,285.12,,,"Sheet","Each",288,,288,3050,2030,3,,"Sheet","Amber",,,"Check Availablity",,,
2700002,,"Plexiglas Satin Ice DC Crystal 0F00 DC - 3050x2030x6T ","Plexiglas",1,1,528.66,,,,,,27,528.66,,,"Sheet","Each",534,,534,3050,2030,6,,"Sheet","Amber",,,"Check Availablity",,,
2700003,,"Plexiglas Satin Ice DC Crystal 0F00 DC - 3050x2030x10T ","Plexiglas",1,1,0,,,,,,27,0,,,"Sheet","Each",0,,,3050,2030,10,,"Sheet","Apricot",,,"Check Availablity",,,
2700004,,"Plexiglas Satin Ice DC Citrus 1C01 DC - 3050x2030x3T ","Plexiglas",1,1,285.12,,,,,,27,285.12,,,"Sheet","Each",288,,288,3050,2030,3,,"Sheet","Asfalto",,,"Check Availablity",,,
2700005,,"Plexiglas Satin Ice DC Citrus 1C01 DC - 3050x2030x6T ","Plexiglas",1,1,528.66,,,,,,27,528.66,,,"Sheet","Each",534,,534,3050,2030,6,,"Sheet","Black",,,"Check Availablity",,,
2700006,,"Plexiglas Satin Ice DC Citrus 1C01 DC - 3050x2030x10T ","Plexiglas",1,1,0,,,,,,27,0,,,"Sheet","Each",0,,,3050,2030,10,,"Sheet","Black",,,"Check Availablity",,,
2700007,,"Plexiglas Satin Ice DC Sunshine 1H17 DC 3050x2030x6T ","Plexiglas",1,1,528.66,,,,,,27,528.66,,,"Sheet","Each",534,,534,3050,2030,6,,"Sheet","Black",,,"Check Availablity",,,
2700008,,"Plexiglas Satin Ice DC Bright Orange 2C01 DC - 3050x2030x6T ","Plexiglas",1,1,528.66,,,,,,27,528.66,,,"Sheet","Each",534,,534,3050,2030,6,,"Sheet","Black",,,"Check Availablity",,,
2700009,,"Plexiglas Satin Ice DC Orange 2C02 DC - 3050x2030x3T ","Plexiglas",1,1,285.12,,,,,,27,285.12,,,"Sheet","Each",288,,288,3050,2030,3,,"Sheet","Black",,,"Check Availablity",,,
2700010,,"Plexiglas Satin Ice DC Orange 2C02 DC - 3050x2030x6T ","Plexiglas",1,1,528.66,,,,,,27,528.66,,,"Sheet","Each",534,,534,3050,2030,6,,"Sheet","Black",,,"Check Availablity",,,
2700011,,"Plexiglas Satin Ice DC Mandarin 2H08 DC - 3050x2030x3T ","Plexiglas",1,1,285.12,,,,,,27,285.12,,,"Sheet","Each",288,,288,3050,2030,3,,"Sheet","Black",,,"Check Availablity",,,
