APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
3000001,M-005,Total Stone (M-005) Alhambra brick,TOTAL Stone,1,1,380.00,,,,,,30,380.00,,,Sheet,Each,,,456.00,2850,1300,,,Sheet,Alhambra brick,,30,30,,,
3000002,M-007,Total Stone (M-007) Bi Colour brick,TOTAL Stone,1,1,546.00,,,,,,30,546.00,,,Sheet,Each,,,655.20,2850,1300,,,Sheet,Bi Colour brick,,30,30,,,
3000003,M-034,Total Stone (M-034) River Pebble & brick,TOTAL Stone,1,1,453.25,,,,,,30,453.25,,,Sheet,Each,,,543.90,2850,1300,,,Sheet,River Pebble & brick,,30,30,,,
3000004,M-053,Total Stone (M-053) Ochre Dry Stone,TOTAL Stone,1,1,469.00,,,,,,30,469.00,,,Sheet,Each,,,562.80,2850,1300,,,Sheet,Ochre Dry Stone,,30,30,,,
3000005,M-061,Total Stone (M-061) Grey Cut Stone,TOTAL Stone,1,1,50.00,,,,,,30,50.00,,,Sheet,Each,,,60.00,2850,1300,,,Sheet,Grey Cut Stone,,30,30,,,
3000006,M-070,Total Stone (M-070) Grey Ginestar,TOTAL Stone,1,1,492.10,,,,,,30,492.10,,,Sheet,Each,,,590.52,2850,1300,,,Sheet,Grey Ginestar,,30,30,,,
3000007,M-076,Total Stone (M-076) Special Ginestar Stone,TOTAL Stone,1,1,437.60,,,,,,30,437.60,,,Sheet,Each,,,525.12,2850,1300,,,Sheet,Special Ginestar Stone,,30,30,,,
3000008,M-080,Total Stone (M-080) Grey Large Stone,TOTAL Stone,1,1,403.00,,,,,,30,403.00,,,Sheet,Each,,,483.60,2850,1300,,,Sheet,Grey Large Stone,,30,30,,,
3000009,M-091,Total Stone (M-091) Grey Slate,TOTAL Stone,1,1,465.00,,,,,,30,465.00,,,Sheet,Each,,,558.00,2850,1300,,,Sheet,Grey Slate,,30,30,,,
3000010,M-093,Total Stone (M-093) Two-Stone Slate,TOTAL Stone,1,1,465.00,,,,,,30,465.00,,,Sheet,Each,,,558.00,2850,1300,,,Sheet,Two Stone Slate,,30,30,,,
3000011,M-095,Total Stone (M-095) Black Slate,TOTAL Stone,1,1,465.00,,,,,,30,465.00,,,Sheet,Each,,,558.00,2850,1300,,,Sheet,Black Slate,,30,30,,,
3000012,M-097,Total Stone (M-097) Grey Laja Stone,TOTAL Stone,1,1,465.00,,,,,,30,465.00,,,Sheet,Each,,,558.00,2850,1300,,,Sheet,Grey Laja Stone,,30,30,,,
3000013,M-098,Total Stone (M-098) Black Laja Stone,TOTAL Stone,1,1,465.00,,,,,,30,465.00,,,Sheet,Each,,,558.00,2850,1300,,,Sheet,Black Laja Stone,,30,30,,,
3000014,M-099,Total Stone (M-099) Ochre Laja Stone,TOTAL Stone,1,1,518.00,,,,,,30,518.00,,,Sheet,Each,,,621.60,2850,1300,,,Sheet,Ochre Laja Stone,,30,30,,,
3000015,M-110,Total Stone (M-110) Miranda Stone,TOTAL Stone,1,1,427.35,,,,,,30,427.35,,,Sheet,Each,,,512.82,2850,1300,,,Sheet,Miranda Stone,,30,30,,,
3000016,M-114,Total Stone (M-114) Grey Limestone,TOTAL Stone,1,1,427.35,,,,,,30,427.35,,,Sheet,Each,,,512.82,2850,1300,,,Sheet,Grey Limestone,,30,30,,,
3000017,M-117,Total Stone (M-117) Clear Limestone,TOTAL Stone,1,1,427.35,,,,,,30,427.35,,,Sheet,Each,,,512.82,2850,1300,,,Sheet,Clear Limestone,,30,30,,,
3000018,M-136,Total Stone (M-136) Ochre Imperial Stone,TOTAL Stone,1,1,427.35,,,,,,30,427.35,,,Sheet,Each,,,512.82,2850,1300,,,Sheet,Ochre Imperial Stone,,30,30,,,
3000019,M-063,Total Stone (M-063) Ochure Cut Stone,TOTAL Stone,1,1,491.40,,,,,,30,491.40,,,Sheet,Each,,,589.68,2850,1300,,,Sheet,Ochure Cut Stone,,30,30,,,
3000020,M-239,Total Stone (M-239) Grey Alpina Stone ,TOTAL Stone,1,1,491.40,,,,,,30,491.40,,,Sheet,Each,,,589.68,2850,1300,,,Sheet,Grey Alpina Stone ,,30,30,,,
3000021,M-250,Total Stone (M-250) Moon,TOTAL Stone,1,1,491.40,,,,,,30,491.40,,,Sheet,Each,,,589.68,2850,1300,,,Sheet,Moon,,30,30,,,
3000022,M-171,Total Stone (M-171) Concrete Wall Panel,TOTAL Stone,1,1,491.40,,,,,,30,491.40,,,Sheet,Each,,,589.68,2850,1300,,,Sheet,Concrete Wall Panel,,30,30,,,
3000023,M-061C,Total Stone (M-061) Grey Cut Corner 90 Degree,TOTAL Stone,1,1,150.00,,,,,,30,491.40,,,Sheet,Each,,,589.68,,,,,Corner,Grey Cut Corner  Degree,,30,30,,,
3000024,M-061A,Total Stone (M-261) Grey Cut Arches,TOTAL Stone,1,1,150.00,,,,,,30,491.40,,,Sheet,Each,,,589.68,,,,,Arch,Grey Cut Arches,,30,30,,,
3000025,M-005C,Total Stone (M-005) Allambra Brick Corner 90 Degree,TOTAL Stone,1,1,150.00,,,,,,30,491.40,,,Sheet,Each,,,589.68,,,,,Corner,Allambra Brick Corner  Degree,,30,30,,,
